build_id,tag
PPP1.180208,android-9.0.0_r1
PPP2.180412,android-9.0.0_r1
PPP3.180510,android-9.0.0_r1
PPP4.180612,android-9.0.0_r1
PPP5.180610,android-9.0.0_r1
PPR1.180610,android-9.0.0_r1
PKQ1.180904.001,android-9.0.0_r1
PPR2.180905,android-9.0.0_r1
PKQ1.180929.001,android-9.0.0_r1
PKQ1.181021.001,android-9.0.0_r1
PKQ1.181105.001,android-9.0.0_r1
PQ1A.181205,android-9.0.0_r1
PQ1A.190105.058,android-9.0.0_r1
PD2A.190115,android-9.0.0_r1
PQ2A.190205,android-9.0.0_r1
PKQ1.190223.001,android-9.0.0_r1
PKQ1.190421.001,android-9.0.0_r1
PQ3A.190505,android-9.0.0_r1
PKQ1.190522.001,android-9.0.0_r1
PQ3A.190605,android-9.0.0_r1
PQ3B.190605,android-9.0.0_r1
PQ3A.190705,android-9.0.0_r1
PQ3B.190705,android-9.0.0_r1
PQ3A.190801,android-9.0.0_r1
QPP1.190205.018.B3,android-10.0.0_r1
QPP2.190228.021,android-10.0.0_r1
QPP2.190228.023,android-10.0.0_r1
QPP3.190404.015,android-10.0.0_r1
QPP4.190502.018,android-10.0.0_r1
QKQ1.190611.002,android-10.0.0_r1
QPP5.190530.014,android-10.0.0_r1
QPP5.190730.005,android-10.0.0_r1
QKQ1.191117.002,android-10.0.0_r1
QKQ1.200719.002,android-10.0.0_r1
RPP1.200123.016,android-11.0.0_r1
RPP2.200227.014,android-11.0.0_r1
RPP3.200320.017,android-11.0.0_r1
RPP4.200409.015,android-11.0.0_r1
RPB1.200504.018,android-11.0.0_r1
RPB1.200504.020,android-11.0.0_r1
RKQ1.200512.002,android-11.0.0_r1
RPB2.200611.009,android-11.0.0_r1
RPB2.200611.012,android-11.0.0_r1
RPB3.200720.005,android-11.0.0_r1
RP1A.200720.012,android-11.0.0_r1
RKQ1.200826.002,android-11.0.0_r1
SPP1.210122.020.A3,android-12.0.0_r1
SPP1.210122.022,android-12.0.0_r1
SPP2.210219.008,android-12.0.0_r1
SPP3.210325.010,android-12.0.0_r1
SPB1.210331.013,android-12.0.0_r1
SPB2.210513.007,android-12.0.0_r1
SPB2.210513.011,android-12.0.0_r1
SFA1.210601.023,android-12.0.0_r1
SPB3.210618.013,android-12.0.0_r1
SPB3.210618.016,android-12.0.0_r1
SPB4.210715.011,android-12.0.0_r1
SPB4.210715.014,android-12.0.0_r1
SPB5.210812.002,android-12.0.0_r1
SP1A.210812.003,android-12.0.0_r1
SP1A.210812.016,android-12.0.0_r1
TPP1.220114.016,android-13.0.0_r1
TPP2.220218.010,android-13.0.0_r1
TPBB.220310.029,android-13.0.0_r1
TPBB.220414.016,android-13.0.0_r1
TP1A.220430.001,android-13.0.0_r1
UPP1.230113.009,android-14.0.0_r1
UPP2.230217.004,android-14.0.0_r1
UPB1.230309.014,android-14.0.0_r1
UPB2.230407.014,android-14.0.0_r1
UPB2.230407.019,android-14.0.0_r1
UPB3.230519.008,android-14.0.0_r1
UPB3.230519.014,android-14.0.0_r1
UPB4.230623.005,android-14.0.0_r1
